,SPACY,wrong_spacy,,TAGGER,wrong_tagger,,TRANS,,,,,
ham,PRON,,ham,pron,,,,,,,,
denuncianten,NOUN,,denuncianten,NN,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
der,ADV,,der,pron,,,,,,,,
med,ADP,,med,præp,,,,,,,,
fræk,NOUN,,fræk,adj,,,,,,,,
pande,VERB,,pande,NN,,,,,,,,
vidner,NOUN,,vidner,v,,,,,,,,
mod,ADP,,mod,præp,,,,,,,,
datteren,NOUN,,datteren,sb,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Han,PRON,,Han,pron,,,,,,,,
var,AUX,,var,v,,,,,,,,
en,DET,,en,pron,,,,,,,,
uværdig,ADJ,,uværdig,adj,,,,,,,,
søn,NOUN,,søn,sb,,,,,,,,
af,ADP,,af,præp,,,,,,,,
en,DET,,en,pron,,,,,,,,
brav,NOUN,,brav,NN,,,,,,,,
borger,NOUN,,borger,NN,,,,,,,,
i,ADP,,i,præp,,,,,,,,
Cassel,PROPN,,Cassel,NNP,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Alle,ADJ,,Alle,pron,,,,,,,,
de,DET,,de,pron,,,,,,,,
høitidelige,ADJ,,høitidelige,sb,,,,,,,,
forsikkringer,NOUN,,forsikkringer,NN,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
bønner,NOUN,,bønner,sb,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
taarer,VERB,,taarer,NN,,,,,,,,
af,ADP,,af,præp,,,,,,,,
troværdigere,NOUN,,troværdigere,sb,,,,,,,,
vidner,NOUN,,vidner,v,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
ere,ADV,,ere,ENDING,,,,,,,,
aldeles,ADV,,aldeles,adv,,,,,,,,
spildte,VERB,,spildte,NN,,,,,,,,
paa,PROPN,,paa,præp,,,,,,,,
Kautz,PROPN,,Kautz,sb,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
hans,PRON,,hans,pron,,,,,,,,
forvorpne,PROPN,,forvorpne,NN,,,,,,,,
leiesvends,PROPN,,leiesvends,NN,,,,,,,,
hjerte,NOUN,,hjerte,NN,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Kautz,PROPN,,Kautz,sb,,,,,,,,
triumpherer,VERB,,triumpherer,NN,,,,,,,,
med,ADP,,med,præp,,,,,,,,
en,DET,,en,pron,,,,,,,,
helvedes,NOUN,,helvedes,NN,,,,,,,,
haanlatter,NOUN,,haanlatter,sb,,,,,,,,
over,ADP,,over,præp,,,,,,,,
moderens,NOUN,,moderens,NN,,,,,,,,
lettroenhed,NOUN,,lettroenhed,NN,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
blinde,ADJ,,blinde,adj,,,,,,,,
tiltroe,NOUN,,tiltroe,sb,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
afskediger,VERB,,afskediger,v,,,,,,,,
hende,PRON,,hende,pron,,,,,,,,
for,ADP,,for,præp,,,,,,,,
i,ADP,,i,præp,,,,,,,,
dag,NOUN,,dag,NN,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
i,ADP,,i,præp,,,,,,,,
forventning,NOUN,,forventning,NN,,,,,,,,
om,ADP,,om,præp,,,,,,,,
nærmere,ADV,,nærmere,adv,,,,,,,,
beskeed,ADJ,,beskeed,NN,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Imidlertid,ADV,,Imidlertid,adv,,,,,,,,
vil,AUX,,vil,v,,,,,,,,
en,PRON,,en,pron,,,,,,,,
af,ADP,,af,præp,,,,,,,,
denne,DET,,denne,pron,,,,,,,,
families,NOUN,,families,NN,,,,,,,,
trøstesløse,ADJ,,trøstesløse,adj,,,,,,,,
slægtninge,ADJ,,slægtninge,sb,,,,,,,,
træde,NOUN,,træde,v,,,,,,,,
imellem,ADV,,imellem,adv,,,,,,,,
",",PUNCT,,",",ZD,,,,,,,,
henvender,VERB,,henvender,v,,,,,,,,
sig,PRON,,sig,pron,,,,,,,,
skriftlig,ADV,,skriftlig,adj,,,,,,,,
til,ADP,,til,præp,,,,,,,,
justitsministeren,NOUN,,justitsministeren,sb,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
beder,NOUN,,beder,v,,,,,,,,
og,CCONJ,,og,konj,,,,,,,,
fyldestgjørelse,NOUN,,fyldestgjørelse,v,,,,,,,,
for,ADP,,for,præp,,,,,,,,
den,DET,,den,pron,,,,,,,,
familien,NOUN,,familien,NN,,,,,,,,
tilføiede,VERB,,tilføiede,sb,,,,,,,,
tort,NOUN,,tort,NN,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Men,CCONJ,,Men,konj,,,,,,,,
endogsaa,ADV,,endogsaa,adv,,,,,,,,
nu,ADV,,nu,adv,,,,,,,,
høre,VERB,,høre,v,,,,,,,,
ikke,ADV,,ikke,adv,,,,,,,,
forfølgelserne,NOUN,,forfølgelserne,v,,,,,,,,
op,ADV,,op,adv,,,,,,,,
.,PUNCT,,.,ZP,,,,,,,,
Ministerens,PROPN,,Ministerens,sb,,,,,,,,
lange,ADJ,,lange,adj,,,,,,,,
taushed,NOUN,,taushed,NN,,,,,,,,
lader,VERB,,lader,v,,,,,,,,
den,DET,,den,pron,,,,,,,,
ulykkelige,ADJ,,ulykkelige,adj,,,,,,,,
familie,NOUN,,familie,NN,,,,,,,,
befrygte,VERB,,befrygte,NN,,,,,,,,
det,DET,,det,pron,,,,,,,,
slemmeste,ADJ,,slemmeste;,NN,,,,,,,,
;,PUNCT,,moder,NN,,,,,,,,
moder,NOUN,,og,konj,,,,,,,,
og,CCONJ,,datter,NN,,,,,,,,
datter,NOUN,,hentæres,sb,,,,,,,,
hentæres,VERB,,synlig,adj,,,,,,,,
synlig,ADJ,,af,præp,,,,,,,,
af,ADP,,skam,adv,,,,,,,,
skam,NOUN,,og,konj,,,,,,,,
og,CCONJ,,kummer,NN,,,,,,,,
kummer,NOUN,,.,ZP,,,,,,,,
.,PUNCT,,Og,konj,,,,,,,,
Og,CCONJ,,følgen,sb,,,,,,,,
følgen,NOUN,,deraf,adv,,,,,,,,
deraf,NOUN,,er,v,,,,,,,,
er,AUX,,en,pron,,,,,,,,
en,DET,,langvarig,adj,,,,,,,,
langvarig,ADJ,,",",ZD,,,,,,,,
",",PUNCT,,langsom,adj,,,,,,,,
langsom,ADJ,,tærende,præp,,,,,,,,
tærende,VERB,,nærvefeber,sb,,,,,,,,
nærvefeber,NOUN,,der,pron,,,,,,,,
der,ADV,,angribe,v,,,,,,,,
angribe,VERB,,begge,pron,,,,,,,,
begge,PRON,,.,ZP,,,,,,,,
.,PUNCT,,Endelig,adv,,,,,,,,
Endelig,ADV,,kommer,v,,,,,,,,
kommer,VERB,,en,pron,,,,,,,,
en,DET,,skrivelse,NN,,,,,,,,
skrivelse,NOUN,,fra,præp,,,,,,,,
fra,ADP,,ministeren,sb,,,,,,,,
ministeren,NOUN,,",",ZD,,,,,,,,
",",PUNCT,,paa,præp,,,,,,,,
paa,ADP,,hendes,pron,,,,,,,,
hendes,DET,,beslægtedes,XF,,,,,,,,
beslægtedes,NOUN,,foreskrivning,NN,,,,,,,,
foreskrivning,NOUN,,",",ZD,,,,,,,,
",",PUNCT,,og,konj,,,,,,,,
og,CCONJ,,den,pron,,,,,,,,
den,DET,,heele,NN,,,,,,,,
heele,ADJ,,fyldestgjørelse,sb,,,,,,,,
fyldestgjørelse,NOUN,,bestaaer,NN,,,,,,,,
bestaaer,NOUN,,i,præp,,,,,,,,
i,ADP,,nogle,pron,,,,,,,,
nogle,DET,,ømfindtlige,adj,,,,,,,,
ømfindtlige,ADJ,,ord,NN,,,,,,,,
ord,NOUN,,over,præp,,,,,,,,
over,ADP,,denne,pron,,,,,,,,
denne,DET,,ubehagelige,adj,,,,,,,,
ubehagelige,ADJ,,hændelse,sb,,,,,,,,
hændelse,NOUN,,",",ZD,,,,,,,,
",",PUNCT,,og,konj,,,,,,,,
og,CCONJ,,i,præp,,,,,,,,
i,ADP,,den,pron,,,,,,,,
den,DET,,forsikkring,NN,,,,,,,,
forsikkring,NOUN,,at,konj,,,,,,,,
at,PART,,gjerningsmændene,sb,,,,,,,,
gjerningsmændene,NOUN,,skulle,v,,,,,,,,
skulle,AUX,,blive,v,,,,,,,,
blive,AUX,,dragne,NN,,,,,,,,
dragne,VERB,,til,præp,,,,,,,,
til,ADP,,ansvar,NN,,,,,,,,
ansvar,NOUN,,.,ZP,,,,,,,,
.,PUNCT,,Iøvrigt,sb,,,,,,,,
Iøvrigt,ADV,,-,ZH,,,,,,,,
-,PUNCT,,saa,adv,,,,,,,,
saa,NOUN,,heed,NN,,,,,,,,
heed,PROPN,,det,pron,,,,,,,,
det,PRON,,-,ZH,,,,,,,,
-,PUNCT,,giver,v,,,,,,,,
giver,VERB,,man,pron,,,,,,,,
man,PRON,,begge,pron,,,,,,,,
begge,PRON,,damerne,v,,,,,,,,
damerne,NOUN,,det,pron,,,,,,,,
det,DET,,velmeente,adj,,,,,,,,
velmeente,ADJ,,raad,NN,,,,,,,,
raad,NOUN,,",",ZD,,,,,,,,
",",PUNCT,,med,præp,,,,,,,,
med,ADP,,stiltienhed,NN,,,,,,,,
stiltienhed,NOUN,,gandske,adj,,,,,,,,
gandske,ADJ,,at,ATI,,,,,,,,
at,SCONJ,,forbigaae,NN,,,,,,,,
forbigaae,VERB,,sagen,NN,,,,,,,,
sagen,NOUN,,og,konj,,,,,,,,
og,CCONJ,,undertrykke,NN,,,,,,,,
undertrykke,VERB,,den,pron,,,,,,,,
den,PRON,,.,ZP,,,,,,,,
.,PUNCT,,Guds,sb,,,,,,,,
Guds,NOUN,,skee,NN,,,,,,,,
skee,ADJ,,lov,v,,,,,,,,
lov,NOUN,,!,ZP,,,,,,,,
!,PUNCT,,Aaret,sb,,,,,,,,
Aaret,VERB,,1813,num,,,,,,,,
1813,NUM,,gjorde,v,,,,,,,,
gjorde,VERB,,gandske,adv,,,,,,,,
gandske,ADJ,,ende,v,,,,,,,,
ende,NOUN,,paa,præp,,,,,,,,
paa,ADP,,dette,pron,,,,,,,,
dette,DET,,franske,adj,,,,,,,,
franske,ADJ,,uvæsen,sb,,,,,,,,
uvæsen,NOUN,,i,præp,,,,,,,,
i,ADP,,Tydskland,propr,,,,,,,,
Tydskland,PROPN,,.,ZP,,,,,,,,
.,PUNCT,,,,,,,,,,,
